number of copies, samples, average, deviation, rme (%)

1, 43, 0.015112403100775195, 0.0021327383006449186, 4.218187521622561
2, 47, 0.02868085106382979, 0.0023885368824216333, 2.3809323722370044
3, 48, 0.042406250000000006, 0.004863734938623967, 3.244706974278443
4, 41, 0.05489024390243905, 0.00509964728574677, 2.8438659528966266
5, 34, 0.06899999999999999, 0.004783177592227563, 2.330150799308208
6, 47, 0.08148936170212767, 0.006096586145310918, 2.138912118891134
7, 42, 0.09521428571428575, 0.008297915442860583, 2.6357142063537773
8, 42, 0.10542857142857143, 0.0063173893077366405, 1.8122192752686899
9, 39, 0.11869230769230772, 0.006358392076427092, 1.6813127187087071
10, 36, 0.13386111111111107, 0.009812973272380008, 2.394699433143576
