number of copies, samples, average, deviation, rme (%)

1, 37, 0.06645945945945946, 0.02032833899673966, 9.85599101891149
2, 36, 0.06943055555555556, 0.024382415436943125, 11.471782578053654
3, 8, 0.13343750000000001, 0.12583164418607679, 78.8493515800178
4, 9, 0.07494444444444445, 0.015277525250438231, 15.669372821724489
5, 9, 0.10255555555555557, 0.06300121251037775, 47.22019373204694
6, 9, 0.07644444444444444, 0.010760008261045981, 10.819438539231992
7, 9, 0.10505555555555555, 0.07352314450414767, 53.79514687252179
8, 9, 0.08611111111111111, 0.01669352003356725, 14.90138988286687
9, 9, 0.10083333333333333, 0.03222673579498861, 24.566893468840906
10, 9, 0.08177777777777778, 0.011713003220542733, 11.009586451048182
