number of copies, samples, average, deviation, rme (%)
1, 24, 0.14412500000000003, 0.005589683820878534, 1.6379581161622705
3, 14, 0.4210714285714286, 0.010929594866967584, 1.498435396706045
5, 11, 0.7047272727272728, 0.024253209721976643, 2.3118890460033623
8, 9, 1.1108888888888888, 0.018120737046574843, 1.2538433575535584
10, 8, 1.4505000000000001, 0.10615487338251198, 6.1193931368696814
15, 7, 2.0987142857142858, 0.05870750742938617, 2.5871718211476282
20, 6, 2.826166666666667, 0.09416032427018643, 3.497008010463308
30, 6, 4.164499999999999, 0.07046630400411258, 1.7760086560393462
40, 5, 5.4792000000000005, 0.03606521870167997, 0.817157698414441
50, 5, 6.968999999999999, 0.1541703603161125, 2.7464069061619134
