number of copies, samples, average, deviation, rme (%)

1, 38, 0.1205526315789474, 0.011972259305896463, 3.157647834717088
3, 18, 0.3535555555555556, 0.010100799165949668, 1.4208370489359496
5, 13, 0.5814615384615385, 0.07218450362856672, 7.50254373021708
10, 7, 1.2185714285714286, 0.11884844290503932, 9.020434438832128
15, 6, 1.7516666666666667, 0.046258692876762805, 2.771841180250416
20, 6, 2.3930000000000002, 0.13886540245863985, 6.090848678647327
25, 6, 2.8953333333333333, 0.07506708111194058, 2.7213061951441326
30, 6, 3.4821666666666666, 0.061716826446818154, 1.8602892806852438
