number of copies, samples, average, deviation, rme (%)

1, 45, 0.09511111111111112, 0.006869637486208367, 2.1103397484033404
2, 26, 0.20400000000000001, 0.03455198981245508, 6.8426360631893886
3, 20, 0.3002999999999999, 0.02065531663429922, 3.21907247907494
4, 17, 0.3821764705882353, 0.016481941990090433, 2.2174602125557197
5, 14, 0.47471428571428576, 0.021149390140065578, 2.5719071197955934
6, 13, 0.5578461538461539, 0.03112567577270718, 3.3720181238375244
7, 12, 0.6767499999999999, 0.03852301555268912, 3.6167744922016993
8, 11, 0.7308181818181818, 0.029413664109791522, 2.703700797207556
9, 10, 0.8029999999999999, 0.021369760566432788, 1.9036044507180334
10, 10, 0.9240000000000002, 0.032758374671389145, 2.535963363983659
