number of copies, samples, average, deviation, rme (%)

1, 43, 0.054941860465116274, 0.008986239018318631, 4.8887344532285475
3, 38, 0.06390789473684212, 0.009481742956974404, 4.71734826233436
5, 32, 0.08215625000000001, 0.01359995107913403, 5.735586324365921
10, 40, 0.11849999999999998, 0.012640999635901892, 3.305895673906581
15, 31, 0.16190322580645158, 0.034438694166794105, 7.801283574419138
20, 27, 0.19644444444444445, 0.02695199911713891, 5.428657729395512
25, 17, 0.25664705882352945, 0.0891031292775895, 17.85122669721022
30, 8, 0.28675, 0.04271082164644325, 12.45433809458228
