number of copies, samples, average, deviation, rme (%)

1, 15, 0.4094, 0.021695292445268258, 2.9349407438744914
2, 7, 0.8031428571428572, 0.05049233793830694, 5.814570335728091
3, 7, 1.1702857142857144, 0.03646785929972806, 2.8820619799508744
4, 6, 1.5939999999999996, 0.08981313935054266, 5.913954943871022
5, 6, 2.022, 0.1548276461101182, 8.0369970946197
6, 6, 2.5691666666666664, 0.3097330571099357, 12.653822317048125
7, 6, 3.017, 0.17832218033660308, 6.2037816930721235
8, 6, 3.2499999999999996, 0.13108470543888784, 4.233456610568027
9, 6, 3.5421666666666667, 0.13337078640641914, 3.952011244187529
10, 6, 3.9563333333333333, 0.2270186482795338, 6.0227537927800014
