number of copies, samples, average, deviation, rme (%)
1, 26, 0.06817948717948719, 0.011928762912196076, 7.068417981366565
5, 26, 0.09976923076923078, 0.018101508649408637, 7.32991088694428
10, 31, 0.16138709677419352, 0.0342146921846496, 7.775328005250436
20, 27, 0.20481481481481476, 0.027044176163962992, 5.224606872199883
50, 16, 0.394, 0.031194016520266616, 4.217921903850771
100, 11, 0.6910909090909091, 0.043693144875265134, 4.247143829322555
200, 8, 1.28575, 0.03168483188259914, 2.0605398865209734
