number of copies, samples, average, deviation, rme (%)

1, 44, 0.09306818181818183, 0.007009620390055729, 2.2254764484988256
2, 27, 0.18392592592592594, 0.0064386210057620664, 1.3851319254870649
3, 21, 0.27838095238095245, 0.00912401331912765, 1.491938945904389
4, 17, 0.3622941176470588, 0.006696684869044846, 0.9504077739873459
5, 15, 0.4574666666666666, 0.013114150844829883, 1.5876778545249122
6, 13, 0.5417692307692307, 0.010955621434936535, 1.222104195549004
7, 12, 0.63725, 0.013471350070697186, 1.3431691161123591
8, 11, 0.7234545454545454, 0.012777821695137538, 1.1864909169069948
9, 10, 0.8108000000000001, 0.015781846110853624, 1.392312316058066
10, 10, 0.8933000000000002, 0.01702971259625692, 1.3636489587646612
